Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,2596.50,2612.00,2554.50,2555.00,28600,2555.00
2016-03-31,2579.50,2610.00,2565.50,2610.00,39700,2610.00
2016-03-30,2558.00,2620.50,2557.50,2587.50,10400,2587.50
2016-03-29,2617.00,2617.00,2539.00,2549.00,10400,2549.00
2016-03-28,2629.00,2630.50,2585.50,2587.50,27900,2587.50
2016-03-25,2605.50,2613.00,2582.00,2582.50,4000,2582.50
2016-03-24,2600.00,2616.50,2586.50,2588.00,40900,2588.00
2016-03-23,2634.00,2634.50,2591.00,2612.50,8400,2612.50
2016-03-22,2646.00,2658.50,2603.00,2630.50,16700,2630.50
2016-03-21,2665.50,2679.50,2614.50,2630.00,26500,2630.00
2016-03-18,2627.00,2694.00,2600.00,2694.00,31700,2694.00
2016-03-17,2600.00,2641.00,2581.50,2612.50,39900,2612.50
2016-03-16,2575.00,2609.50,2561.00,2565.00,52500,2565.00
2016-03-15,2615.50,2644.00,2554.50,2605.00,140300,2605.00
2016-03-14,2610.00,2683.00,2606.00,2612.00,41800,2612.00
2016-03-11,2675.00,2780.00,2603.00,2603.00,29800,2603.00
2016-03-10,2670.00,2800.00,2651.00,2700.50,73800,2700.50
2016-03-09,2665.00,2686.00,2617.00,2686.00,31600,2686.00
2016-03-08,2675.50,2675.50,2675.50,2675.50,000,2675.50
2016-03-07,2660.00,2686.50,2636.00,2675.50,4800,2675.50
2016-03-04,2619.00,2659.50,2619.00,2633.50,17000,2633.50
2016-03-03,2626.00,2668.50,2609.00,2624.50,86600,2624.50
2016-03-02,2626.00,2675.00,2622.00,2628.00,14700,2628.00
2016-03-01,2640.00,2899.50,2625.50,2640.00,28700,2640.00
2016-02-29,2540.00,2643.50,2535.00,2622.00,38700,2622.00
2016-02-26,2517.00,2578.00,2510.00,2538.00,29600,2538.00
2016-02-25,2532.00,2533.00,2463.00,2513.00,62200,2513.00
2016-02-24,2458.00,2526.00,2410.00,2505.00,33800,2505.00
2016-02-23,2492.50,2492.50,2492.50,2492.50,000,2492.50
2016-02-22,2518.00,2518.00,2457.50,2492.50,10800,2492.50
2016-02-19,2375.00,2574.00,2375.00,2515.50,168900,2515.50
2016-02-18,2377.00,2428.00,2311.50,2402.00,53700,2402.00
2016-02-17,2249.00,2367.50,2227.50,2367.50,56400,2367.50
2016-02-16,2255.00,2299.50,2209.50,2246.00,112000,2246.00
2016-02-15,2238.00,2273.00,2206.50,2217.50,59400,2217.50
2016-02-12,2096.50,2224.00,2090.00,2170.00,39400,2170.00
2016-02-11,2138.50,2147.50,2077.00,2087.00,8700,2087.00
2016-02-10,2120.00,2143.50,2067.50,2134.50,9100,2134.50
2016-02-09,2139.50,2151.00,2101.00,2110.00,17300,2110.00
2016-02-08,2219.00,2298.00,2123.00,2140.50,43000,2140.50
2016-02-05,2070.00,2224.00,2055.00,2192.50,49100,2192.50
2016-02-04,2020.00,2080.00,2018.00,2074.00,45800,2074.00
2016-02-03,2008.00,2023.00,2000.50,2000.50,23700,2000.50
2016-02-02,2010.00,2034.00,2000.00,2011.50,10900,2011.50
2016-02-01,2015.50,2030.00,2009.50,2030.00,6400,2030.00
2016-01-29,2008.50,2019.50,1993.50,2015.50,11600,2015.50
2016-01-28,1991.50,2008.00,1983.00,2000.00,13300,2000.00
2016-01-27,1989.00,2004.00,1972.00,2003.50,9900,2003.50
2016-01-26,1991.00,2003.50,1968.50,1989.00,6900,1989.00
2016-01-25,2000.00,2007.50,1982.50,2007.50,16400,2007.50
2016-01-22,1981.00,2018.00,1981.00,2000.00,24900,2000.00
