Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,2596.50,2612.00,2554.50,2555.00,57200,2555.00
2016-03-01,2640.00,2899.50,2539.00,2610.00,35500,2610.00
2016-02-01,2015.50,2643.50,2000.00,2622.00,43600,2622.00
2016-01-01,1988.00,2100.00,1900.00,2015.50,13100,2015.50
2015-12-01,1998.00,2130.00,1930.00,1988.00,28700,1988.00
2015-11-02,1928.00,2037.00,1889.00,1980.00,24900,1980.00
2015-10-01,1739.00,1935.00,1705.00,1920.00,30100,1920.00
2015-09-01,1783.00,1816.00,1705.00,1730.00,20900,1730.00
2015-08-03,1903.00,1980.00,1705.00,1783.00,16000,1783.00
2015-07-01,1907.00,1938.00,1830.00,1900.00,18500,1900.00
2015-06-01,2000.00,2195.00,1803.00,1907.00,16600,1907.00
2015-05-01,2147.00,2400.00,1917.00,2000.00,20700,2000.00
2015-04-01,1897.00,2292.00,1836.00,2147.00,46700,2147.00
2015-03-02,1688.00,1955.00,1638.00,1897.00,89800,1897.00
2015-02-02,1538.00,1818.00,1515.00,1670.00,67400,1670.00
2015-01-01,1250.00,1600.00,1221.00,1497.00,59600,1497.00
2014-12-01,1235.00,1520.00,954.00,1250.00,87400,1250.00
2014-11-03,1328.00,1430.00,1234.00,1255.00,54200,1255.00
2014-10-01,1255.00,1368.00,930.00,1326.00,96600,1326.00
2014-09-01,1929.00,1950.00,1182.30,1255.00,115400,1255.00
2014-08-01,1952.60,2150.20,1830.90,1943.80,35600,1943.80
2014-07-01,2381.60,2679.00,1850.60,1962.80,59900,1962.80
2014-06-02,2288.90,2549.90,2227.00,2400.00,29600,2400.00
2014-05-01,2115.00,2494.80,2100.10,2255.50,11600,2255.50
2014-04-01,1926.20,2119.90,1871.20,2115.00,14600,2115.00
2014-03-03,1629.70,2119.80,1608.20,1914.00,24500,1914.00
2014-02-03,1988.50,2222.70,1935.00,2017.00,34200,2017.00
2014-01-01,2000.00,2218.00,1974.10,1977.40,47500,1977.40
2013-12-02,1920.00,2054.90,1785.00,2000.00,31500,2000.00
2013-11-01,1836.20,1941.10,1730.00,1908.70,24600,1908.70
2013-10-01,1903.70,1986.00,1859.90,1935.00,19800,1736.00
2013-09-02,1906.00,1979.90,1875.00,1899.40,19500,1704.061
2013-08-01,2009.80,2027.40,1875.00,1906.00,9900,1709.982
2013-07-01,1842.30,2130.00,1829.00,2000.00,9000,1794.315
2013-06-03,2009.90,2046.50,1801.00,1834.00,14300,1645.387
2013-05-01,1971.10,2268.00,1840.00,2001.00,12500,1795.212
2013-04-01,1930.00,2050.00,1839.90,1971.10,5700,1745.932
2013-03-01,2065.00,2130.00,1910.00,1919.80,10900,1700.492
2013-02-01,1909.90,2400.00,1900.00,2080.00,8200,1842.391
2013-01-01,1760.10,1918.00,1700.00,1910.00,13100,1691.811
2012-12-03,1740.00,1844.50,1710.00,1760.10,6200,1559.035
2012-11-01,1780.00,1860.00,1710.00,1740.00,9500,1541.231
2012-10-01,1880.00,1945.00,1757.40,1780.00,12300,1576.662
2012-09-03,1650.00,2036.00,1635.00,1880.00,10900,1665.238
2012-08-01,1634.40,1735.00,1487.10,1646.10,2400,1458.058
2012-07-02,1559.80,1669.60,1495.00,1665.60,3900,1475.33
2012-06-01,1575.00,1749.90,1512.00,1548.00,15100,1371.164
2012-05-01,1635.00,1655.00,1450.00,1580.00,5900,1399.509
2012-04-02,1700.00,1790.00,1552.00,1635.00,10500,1356.905
2012-03-01,1443.60,1900.00,1047.60,1693.00,82900,1405.04
2012-02-01,1141.05,1825.00,912.84,1804.50,244300,1497.575
2012-01-10,1375.00,1550.00,711.30,1550.00,53100,1286.362
2011-12-01,1470.00,1510.00,1335.00,1341.80,24900,1113.575
2011-11-18,1575.00,1575.00,1460.00,1470.00,5000,1219.969
