Date,Open,High,Low,Close,Volume,Adj Close
2016-03-28,2629.00,2630.50,2539.00,2555.00,23400,2555.00
2016-03-21,2665.50,2679.50,2582.00,2582.50,19300,2582.50
2016-03-14,2610.00,2694.00,2554.50,2694.00,61200,2694.00
2016-03-07,2660.00,2800.00,2603.00,2603.00,28000,2603.00
2016-02-29,2540.00,2899.50,2535.00,2633.50,37100,2633.50
2016-02-22,2518.00,2578.00,2410.00,2538.00,27200,2538.00
2016-02-15,2238.00,2574.00,2206.50,2515.50,90000,2515.50
2016-02-08,2219.00,2298.00,2067.50,2170.00,23500,2170.00
2016-02-01,2015.50,2224.00,2000.00,2192.50,27100,2192.50
2016-01-25,2000.00,2019.50,1968.50,2015.50,11600,2015.50
2016-01-18,1949.00,2065.00,1900.00,2000.00,13600,2000.00
2016-01-11,2055.00,2089.50,1918.00,1958.50,18400,1958.50
2016-01-04,1985.00,2100.00,1975.50,2100.00,9000,2100.00
2015-12-28,1990.50,2005.00,1963.50,1988.00,9500,1988.00
2015-12-21,1949.00,2011.50,1935.50,1999.00,19700,1999.00
2015-12-14,2097.50,2097.50,1930.00,1930.00,35300,1930.00
2015-12-07,2097.00,2130.00,2050.00,2090.00,44000,2090.00
2015-11-30,1968.50,2098.00,1950.00,2088.00,27200,2088.00
2015-11-23,1919.50,2037.00,1905.00,1957.00,55900,1957.00
2015-11-16,1889.00,1939.50,1889.00,1911.50,14500,1911.50
2015-11-09,1996.50,1996.50,1900.00,1903.00,14100,1903.00
2015-11-02,1928.00,2000.00,1922.00,1997.50,12600,1997.50
2015-10-26,1793.00,1935.00,1790.00,1920.00,14000,1920.00
2015-10-19,1799.00,1827.00,1710.00,1803.00,22300,1803.00
2015-10-12,1788.00,1836.00,1782.00,1802.00,20600,1802.00
2015-10-05,1735.00,1805.00,1717.00,1788.00,67800,1788.00
2015-09-28,1713.00,1740.00,1705.00,1719.00,19900,1719.00
2015-09-21,1791.00,1805.00,1705.00,1705.00,21900,1705.00
2015-09-14,1811.00,1816.00,1770.00,1790.00,20200,1790.00
2015-09-07,1770.00,1803.00,1760.00,1803.00,18200,1803.00
2015-08-31,1773.00,1795.00,1755.00,1769.00,15200,1769.00
2015-08-24,1817.00,1980.00,1705.00,1770.00,27900,1770.00
2015-08-17,1892.00,1895.00,1817.00,1851.00,8300,1851.00
2015-08-10,1901.00,1921.00,1852.00,1892.00,14900,1892.00
2015-08-03,1903.00,1935.00,1870.00,1906.00,12600,1906.00
2015-07-27,1895.00,1904.00,1832.00,1900.00,9500,1900.00
2015-07-20,1893.00,1905.00,1875.00,1893.00,17100,1893.00
2015-07-13,1893.00,1929.00,1830.00,1885.00,23900,1885.00
2015-07-06,1882.00,1938.00,1831.00,1875.00,29600,1875.00
2015-06-29,1885.00,1938.00,1863.00,1901.00,6200,1901.00
2015-06-22,1965.00,1983.00,1884.00,1890.00,8000,1890.00
2015-06-15,1878.00,2195.00,1803.00,1926.00,33800,1926.00
2015-06-08,1979.00,1979.00,1815.00,1887.00,13000,1887.00
2015-06-01,2000.00,2060.00,1901.00,1954.00,14200,1954.00
2015-05-25,2039.00,2070.00,1971.00,2000.00,12900,2000.00
2015-05-18,2140.00,2147.00,1917.00,2034.00,23900,2034.00
2015-05-11,2244.00,2300.00,2061.00,2148.00,10900,2148.00
2015-05-04,2147.00,2400.00,2147.00,2244.00,35500,2244.00
2015-04-27,2137.00,2167.00,1990.00,2147.00,28200,2147.00
2015-04-20,2105.00,2292.00,2082.00,2132.00,51600,2132.00
2015-04-13,1989.00,2119.00,1940.00,2117.00,42400,2117.00
2015-04-06,1872.00,1966.00,1845.00,1923.00,51800,1923.00
2015-03-30,1910.00,1910.00,1825.00,1864.00,54900,1864.00
2015-03-23,1921.00,1926.00,1724.00,1890.00,88700,1890.00
2015-03-16,1742.00,1955.00,1711.00,1912.00,161800,1912.00
2015-03-09,1795.00,1798.00,1705.00,1753.00,44000,1753.00
2015-03-02,1688.00,1795.00,1638.00,1795.00,65500,1795.00
2015-02-23,1655.00,1685.00,1574.00,1670.00,28900,1670.00
2015-02-16,1777.00,1818.00,1617.00,1655.00,58600,1655.00
2015-02-09,1650.00,1790.00,1650.00,1778.00,68300,1778.00
2015-02-02,1538.00,1713.00,1515.00,1648.00,107500,1648.00
2015-01-26,1479.00,1600.00,1390.00,1497.00,75200,1497.00
2015-01-19,1307.00,1580.00,1296.00,1550.00,106600,1550.00
2015-01-12,1284.00,1399.00,1245.00,1320.00,47000,1320.00
2015-01-05,1253.00,1333.00,1221.00,1291.00,23500,1291.00
2014-12-29,1271.00,1285.00,1192.00,1250.00,20200,1250.00
2014-12-22,1280.00,1350.00,1176.00,1265.00,33700,1265.00
2014-12-15,1435.00,1520.00,954.00,1273.00,164800,1273.00
2014-12-08,1244.00,1465.00,1055.00,1425.00,127900,1425.00
2014-12-01,1235.00,1300.00,1210.00,1244.00,55400,1244.00
2014-11-24,1405.00,1417.00,1250.00,1255.00,32400,1255.00
2014-11-17,1311.00,1430.00,1303.00,1403.00,48900,1403.00
2014-11-10,1386.00,1387.00,1279.00,1317.00,55700,1317.00
2014-11-03,1328.00,1390.00,1234.00,1260.00,72500,1260.00
2014-10-27,941.00,1368.00,941.00,1326.00,187000,1326.00
2014-10-20,988.00,1017.00,930.00,945.00,43000,945.00
2014-10-13,1058.00,1110.00,940.00,980.00,59500,980.00
2014-10-06,1230.00,1286.00,1020.00,1070.00,39400,1070.00
2014-09-29,1256.90,1310.00,1188.00,1228.00,81400,1228.00
2014-09-22,1401.00,1444.70,1182.30,1263.00,164200,1263.00
2014-09-15,1891.30,1899.00,1334.10,1403.00,237300,1403.00
2014-09-08,1858.60,1926.90,1801.10,1890.60,34600,1890.60
2014-09-01,1929.00,1950.00,1850.30,1861.00,18400,1861.00
2014-08-25,2061.90,2099.00,1890.20,1943.80,40700,1943.80
2014-08-18,2083.70,2150.20,2031.50,2040.00,37200,2040.00
2014-08-11,2007.80,2100.00,1890.00,2080.00,31700,2080.00
2014-08-04,1990.10,2025.00,1830.90,1872.60,24600,1872.60
2014-07-28,2014.90,2042.40,1850.60,1990.90,69600,1990.90
2014-07-21,2141.70,2259.10,1986.30,2028.20,106700,2028.20
2014-07-14,2551.40,2571.00,2129.90,2135.00,52400,2135.00
2014-07-07,2476.80,2639.90,2476.80,2517.00,30700,2517.00
2014-06-30,2387.20,2679.00,2375.50,2470.00,20800,2470.00
2014-06-23,2364.90,2549.90,2282.90,2404.90,25000,2404.90
2014-06-16,2430.00,2548.50,2227.00,2365.00,56600,2365.00
2014-06-09,2390.00,2522.90,2381.10,2424.10,12900,2424.10
2014-06-02,2288.90,2414.90,2269.80,2393.20,23400,2393.20
2014-05-26,2278.00,2300.00,2201.50,2255.50,12000,2255.50
2014-05-19,2190.00,2323.20,2178.00,2268.30,6300,2268.30
2014-05-12,2269.90,2358.90,2145.20,2200.00,18000,2200.00
2014-05-05,2115.00,2494.80,2100.10,2255.00,11000,2255.00
2014-04-28,2115.00,2115.00,2115.00,2115.00,000,2115.00
2014-04-21,2096.00,2119.90,2047.60,2115.00,2800,2115.00
2014-04-14,2002.00,2095.90,1980.00,2089.90,16100,2089.90
2014-04-07,1968.00,2038.00,1875.20,2029.50,18400,2029.50
2014-03-31,1919.90,1979.90,1871.20,1970.00,28200,1970.00
2014-03-24,1880.00,1934.80,1840.60,1910.00,19500,1910.00
2014-03-17,1859.90,2119.80,1810.00,1870.90,22000,1870.90
2014-03-10,1900.10,1910.70,1772.00,1840.20,13300,1840.20
2014-03-03,1629.70,1980.10,1608.20,1900.10,45800,1900.10
2014-02-24,2198.40,2216.00,1994.90,2017.00,49700,2017.00
2014-02-17,2189.80,2222.70,2141.00,2187.20,26800,2187.20
2014-02-10,2079.30,2200.00,2065.00,2178.70,27900,2178.70
2014-02-03,1988.50,2090.00,1935.00,2079.20,20000,2079.20
2014-01-27,2015.00,2125.00,1975.00,1977.40,53100,1977.40
2014-01-20,2189.00,2210.00,1985.10,2021.90,85900,2021.90
2014-01-13,2002.10,2218.00,1982.40,2192.90,60600,2192.90
2014-01-06,2015.90,2019.90,1974.10,2017.90,6400,2017.90
2013-12-30,2022.00,2022.00,1981.50,2000.00,1500,2000.00
2013-12-23,2028.90,2028.90,1980.00,1985.20,14200,1985.20
2013-12-16,1925.00,2054.90,1785.00,2003.00,86900,2003.00
2013-12-09,1898.80,1910.00,1805.20,1906.00,15100,1906.00
