Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,34.90,35.35,34.80,35.10,29200,35.10
2016-03-31,35.00,35.20,34.85,35.05,30300,35.05
2016-03-30,35.15,35.25,34.55,35.20,42200,35.20
2016-03-29,35.35,36.80,34.60,35.20,311500,35.20
2016-03-28,35.15,35.50,35.00,35.25,22000,35.25
2016-03-25,35.15,35.30,35.00,35.15,11000,35.15
2016-03-24,34.80,35.40,34.65,35.15,74600,35.15
2016-03-23,35.05,35.10,34.80,34.90,42000,34.90
2016-03-22,35.00,35.05,34.70,35.05,73000,35.05
2016-03-21,35.00,35.10,34.80,34.95,32800,34.95
2016-03-18,35.00,35.10,34.80,35.00,38300,35.00
2016-03-17,35.30,35.35,34.80,34.95,47200,34.95
2016-03-16,34.85,35.10,34.70,34.85,70500,34.85
2016-03-15,35.20,35.30,34.60,34.70,104300,34.70
2016-03-14,35.10,35.55,35.05,35.15,105600,35.15
2016-03-11,35.15,35.55,34.70,35.00,237600,35.00
2016-03-10,34.85,35.50,34.80,35.15,28700,35.15
2016-03-09,34.95,35.10,34.85,34.95,24900,34.95
2016-03-08,34.85,34.85,34.85,34.85,000,34.85
2016-03-07,35.00,35.10,34.85,34.85,17100,34.85
2016-03-04,35.00,35.00,34.75,34.90,3100,34.90
2016-03-03,35.00,35.15,34.75,34.95,91400,34.95
2016-03-02,34.80,35.05,34.75,34.95,9500,34.95
2016-03-01,35.00,35.05,34.50,35.00,22700,35.00
2016-02-29,34.75,35.05,34.40,35.00,129500,35.00
2016-02-26,35.00,35.00,34.85,34.85,10500,34.85
2016-02-25,34.75,35.10,34.40,34.95,9900,34.95
2016-02-24,35.05,35.05,34.75,34.90,5700,34.90
2016-02-23,35.00,35.00,35.00,35.00,000,35.00
2016-02-22,34.90,35.10,34.90,35.00,2300,35.00
2016-02-19,34.70,35.05,34.65,35.00,19000,35.00
2016-02-18,35.05,35.30,34.65,34.95,53000,34.95
2016-02-17,35.15,35.40,34.65,34.80,34900,34.80
2016-02-16,35.20,35.20,34.45,35.10,46100,35.10
2016-02-15,35.60,36.65,34.80,35.00,149900,35.00
2016-02-12,35.15,36.00,35.10,35.45,186300,35.45
2016-02-11,35.05,35.40,34.15,34.85,62400,34.85
2016-02-10,35.10,35.15,34.75,35.15,55500,35.15
2016-02-09,35.60,35.65,35.05,35.15,132300,35.15
2016-02-08,34.75,36.40,34.75,35.30,119200,35.30
2016-02-05,35.30,35.30,34.75,35.25,47900,35.25
2016-02-04,35.10,35.50,35.00,35.10,32400,35.10
2016-02-03,34.90,35.00,34.85,34.95,29800,34.95
2016-02-02,34.90,34.95,34.70,34.95,23000,34.95
2016-02-01,34.95,35.00,34.65,34.95,21500,34.95
2016-01-29,34.95,34.95,34.45,34.65,27800,34.65
2016-01-28,34.80,34.90,34.70,34.85,48200,34.85
2016-01-27,34.75,35.10,34.50,34.80,37600,34.80
2016-01-26,34.50,34.90,34.35,34.70,64800,34.70
2016-01-25,34.70,35.10,34.40,34.40,64900,34.40
2016-01-22,34.85,34.85,34.30,34.35,30900,34.35
2016-01-21,34.35,34.45,34.00,34.40,35000,34.40
2016-01-20,35.00,35.30,34.15,34.45,22000,34.45
2016-01-19,34.45,35.40,34.45,34.90,34000,34.90
2016-01-18,34.50,34.95,34.20,34.30,57100,34.30
2016-01-15,35.50,35.60,34.05,35.00,129100,35.00
2016-01-14,35.65,35.70,35.50,35.50,15800,35.50
2016-01-13,35.65,35.90,35.65,35.80,15200,35.80
2016-01-12,35.60,35.80,35.35,35.40,11400,35.40
2016-01-11,35.60,35.65,35.00,35.60,17500,35.60
2016-01-08,36.05,36.05,36.05,36.05,000,36.05
2016-01-07,36.05,36.05,36.05,36.05,000,36.05
2016-01-06,36.00,36.15,35.60,36.05,9700,36.05
2016-01-05,35.95,36.70,35.95,36.05,10500,36.05
2016-01-04,35.85,36.95,35.60,36.10,17200,36.10
2016-01-01,35.55,35.55,35.55,35.55,000,35.55
2015-12-31,35.55,35.55,35.55,35.55,000,35.55
2015-12-30,35.20,35.60,35.05,35.55,34400,35.55
2015-12-29,35.20,35.60,35.00,35.50,14900,35.50
2015-12-28,36.00,36.00,35.30,35.50,11400,35.50
2015-12-25,35.85,36.15,35.30,35.75,19300,35.75
2015-12-24,36.20,36.20,35.70,35.85,3600,35.85
2015-12-23,35.15,36.40,35.10,36.00,82000,36.00
2015-12-22,35.30,35.30,35.00,35.10,5400,35.10
2015-12-21,35.50,35.50,34.95,35.00,13500,35.00
2015-12-18,35.90,36.30,35.00,35.10,31600,35.10
2015-12-17,35.85,37.10,35.55,35.90,46400,35.90
2015-12-16,34.95,37.80,34.95,35.55,59100,35.55
2015-12-15,35.00,35.30,35.00,35.00,14700,35.00
2015-12-14,34.60,35.15,34.50,35.00,25200,35.00
2015-12-11,34.55,35.20,34.30,35.00,28000,35.00
2015-12-10,34.45,34.95,33.50,34.50,35200,34.50
2015-12-09,34.55,34.70,34.00,34.50,18700,34.50
2015-12-08,34.80,34.95,34.15,34.50,26300,34.50
2015-12-07,35.15,35.20,34.50,34.65,201000,34.65
2015-12-04,35.00,35.10,34.40,35.00,25100,35.00
2015-12-03,34.85,36.00,34.50,34.85,52700,34.85
2015-12-02,35.05,35.10,34.20,34.80,33200,34.80
2015-12-01,35.25,35.25,34.80,35.10,13500,35.10
2015-11-30,35.50,35.65,35.20,35.40,7400,35.40
2015-11-27,35.40,35.40,34.85,35.25,8400,35.25
2015-11-26,35.75,35.75,35.10,35.20,4200,35.20
2015-11-25,35.35,35.50,35.00,35.50,13900,35.50
2015-11-24,36.10,36.50,34.95,35.00,44000,35.00
2015-11-23,35.25,35.95,35.00,35.85,17800,35.85
2015-11-20,35.50,35.70,35.30,35.60,12000,35.60
2015-11-19,34.80,35.85,34.80,35.50,24600,35.50
2015-11-18,34.95,35.45,34.85,35.30,6100,35.30
2015-11-17,34.75,35.45,34.65,35.15,10400,35.15
2015-11-16,35.00,35.10,34.35,34.50,21700,34.50
2015-11-13,35.05,35.55,34.90,34.90,9700,34.90
2015-11-12,35.30,35.70,35.25,35.30,3400,35.30
2015-11-11,35.40,35.50,35.35,35.45,2300,35.45
2015-11-10,35.65,35.65,35.00,35.35,36400,35.35
2015-11-09,35.90,36.25,35.50,35.55,20800,35.55
2015-11-06,35.75,36.20,35.50,35.80,10400,35.80
2015-11-05,36.40,36.45,35.60,35.80,90800,35.80
2015-11-04,36.70,36.70,36.70,36.70,000,36.70
2015-11-03,34.70,37.95,34.70,36.70,126100,36.70
2015-11-02,34.85,35.05,34.55,34.75,28400,34.75
2015-10-30,34.30,34.70,34.25,34.55,15100,34.55
2015-10-29,34.80,34.95,34.10,34.25,28800,34.25
2015-10-28,35.05,35.05,34.55,34.65,12500,34.65
2015-10-27,34.45,35.00,34.45,35.00,22700,35.00
2015-10-26,34.40,34.80,34.05,34.70,15700,34.70
2015-10-23,34.40,34.95,34.35,34.55,18200,34.55
2015-10-22,34.40,35.20,34.05,34.80,40700,34.80
2015-10-21,34.25,34.60,34.25,34.30,9500,34.30
2015-10-20,34.30,34.65,34.30,34.55,2900,34.55
2015-10-19,34.40,34.70,34.00,34.50,15500,34.50
2015-10-16,34.75,35.05,34.40,34.55,13300,34.55
2015-10-15,34.40,34.95,34.25,34.75,35900,34.75
2015-10-14,34.30,34.70,34.05,34.55,11600,34.55
2015-10-13,34.05,34.50,34.00,34.20,25200,34.20
2015-10-12,34.60,34.65,34.30,34.35,13800,34.35
2015-10-09,34.15,34.85,33.55,34.75,37700,34.75
2015-10-08,34.50,35.00,33.85,34.00,51500,34.00
2015-10-07,34.55,34.55,34.10,34.30,22600,34.30
2015-10-06,34.90,34.90,34.15,34.45,12100,34.45
2015-10-05,34.10,34.75,34.05,34.30,19600,34.30
2015-10-02,34.55,35.15,34.45,34.50,21200,34.50
2015-10-01,34.65,34.95,34.00,34.60,11000,34.60
2015-09-30,34.75,34.90,34.70,34.85,4100,34.85
2015-09-29,34.75,34.95,34.70,34.90,1000,34.90
2015-09-28,34.80,35.05,34.25,35.05,22000,35.05
2015-09-25,35.00,35.10,34.75,34.75,4200,34.75
2015-09-24,35.05,35.05,34.35,34.85,5400,34.85
2015-09-23,35.25,35.50,34.50,34.95,24000,34.95
2015-09-22,35.90,36.30,35.10,35.30,22300,35.30
2015-09-21,35.00,36.00,34.80,35.90,33100,35.90
2015-09-18,34.85,35.15,34.70,35.00,10300,35.00
2015-09-17,35.00,35.10,34.80,34.95,11600,34.95
2015-09-16,35.00,35.20,34.80,35.15,48600,35.15
2015-09-15,34.80,35.10,34.60,35.05,18100,35.05
2015-09-14,35.35,35.35,34.60,35.00,12500,35.00
2015-09-11,34.75,35.50,34.20,34.90,155500,34.90
2015-09-10,35.10,35.35,34.80,35.00,8000,35.00
2015-09-09,34.80,35.25,34.75,34.95,12700,34.95
2015-09-08,35.00,35.35,34.65,35.05,9300,35.05
2015-09-07,35.50,35.50,34.35,34.95,43500,34.95
2015-09-04,37.00,37.00,35.05,35.20,31000,35.20
2015-09-03,35.95,35.95,34.90,35.65,61800,35.65
2015-09-02,35.70,35.80,35.25,35.65,10800,35.65
2015-09-01,35.55,36.65,35.45,35.70,18700,35.70
2015-08-31,35.15,35.65,34.95,35.30,26400,35.30
2015-08-28,35.10,35.45,34.85,35.20,68200,35.20
2015-08-27,35.00,35.85,34.75,35.10,74000,35.10
2015-08-26,34.85,34.95,33.95,34.75,32400,34.75
2015-08-25,33.95,34.75,33.95,34.40,20500,34.40
2015-08-24,34.55,35.05,33.85,34.25,61400,34.25
2015-08-21,34.95,35.20,34.90,35.00,17600,35.00
2015-08-20,35.15,35.50,34.70,35.10,116000,35.10
2015-08-19,35.35,35.65,35.00,35.05,44900,35.05
2015-08-18,35.95,35.95,35.30,35.55,27200,35.55
2015-08-17,36.05,36.05,35.55,35.95,41800,35.95
2015-08-14,36.15,36.30,35.90,36.00,10700,36.00
2015-08-13,36.45,36.75,36.00,36.05,29400,36.05
2015-08-12,36.30,36.45,36.05,36.20,4500,36.20
2015-08-11,36.30,36.60,35.95,36.55,29600,36.55
2015-08-10,35.85,36.55,35.85,36.55,10300,36.55
2015-08-07,36.20,36.75,35.90,35.95,39100,35.95
2015-08-06,36.65,36.65,35.55,35.85,26900,35.85
2015-08-05,36.25,36.70,36.00,36.35,21700,36.35
2015-08-04,35.70,36.70,35.70,36.25,34700,36.25
2015-08-03,35.90,36.45,35.55,35.65,12300,35.65
2015-07-31,35.95,36.30,35.20,35.95,63900,35.95
2015-07-30,35.85,35.85,35.25,35.70,10900,35.70
2015-07-29,35.70,35.75,35.05,35.70,52700,35.70
2015-07-28,36.05,36.05,35.50,35.65,34700,35.65
2015-07-27,36.10,36.25,35.00,35.80,79700,35.80
2015-07-24,36.50,36.60,36.10,36.25,8000,36.25
2015-07-23,36.80,36.95,36.55,36.60,4900,36.60
2015-07-22,37.30,37.30,36.65,36.65,8300,36.65
2015-07-21,36.45,37.65,36.35,36.90,81300,36.90
2015-07-20,36.80,36.80,36.15,36.30,29900,36.30
2015-07-17,36.80,37.00,36.75,36.80,7100,36.80
2015-07-16,36.40,36.75,36.15,36.75,10600,36.75
2015-07-15,37.65,37.70,35.75,36.55,52500,36.55
2015-07-14,36.65,38.00,36.50,37.15,187300,37.15
2015-07-13,37.15,37.15,36.50,36.50,34300,36.50
2015-07-10,36.55,37.35,36.50,37.20,20200,37.20
2015-07-09,36.50,37.35,35.50,36.50,161400,36.50
2015-07-08,37.60,37.60,36.10,36.80,109500,36.80
2015-07-07,37.55,37.80,37.30,37.80,64000,37.80
2015-07-06,37.40,37.75,37.30,37.65,78800,37.65
2015-07-03,38.15,38.15,37.35,37.55,81300,37.55
2015-07-02,37.75,39.00,37.50,37.80,150500,37.80
2015-07-01,37.75,38.10,37.70,37.80,38300,37.80
2015-06-30,37.30,38.95,37.30,38.00,487900,38.00
2015-06-29,37.40,37.50,37.20,37.25,52500,37.25
2015-06-26,37.50,37.60,37.35,37.45,51900,37.45
2015-06-25,37.55,37.80,37.35,37.40,88000,37.40
2015-06-24,37.50,37.60,37.35,37.45,54100,37.45
2015-06-23,37.50,37.60,37.25,37.40,65300,37.40
2015-06-22,38.15,38.15,37.40,37.80,43100,37.80
2015-06-19,37.50,37.80,37.50,37.60,17300,37.60
2015-06-18,37.45,37.90,37.40,37.80,32900,37.80
2015-06-17,37.80,37.80,37.40,37.50,26400,37.50
2015-06-16,37.55,38.00,37.20,37.40,243500,37.40
2015-06-15,37.55,37.55,37.00,37.45,225200,37.45
2015-06-12,37.55,37.55,37.55,37.55,000,37.55
2015-06-11,37.60,37.70,37.40,37.55,63000,37.55
2015-06-10,37.90,38.00,37.50,37.55,9000,37.55
2015-06-09,37.45,37.90,37.45,37.50,23500,37.50
2015-06-08,37.75,37.95,37.60,37.60,8600,37.60
2015-06-05,37.65,38.15,37.40,37.50,19200,37.50
2015-06-04,38.00,38.00,37.60,37.70,11500,37.70
2015-06-03,38.45,38.50,37.60,37.95,15800,37.95
2015-06-02,38.00,38.50,37.50,38.15,76500,38.15
2015-06-01,38.15,38.50,37.25,37.70,86900,37.70
2015-05-29,37.55,38.30,37.55,37.70,6500,37.70
2015-05-28,37.55,38.20,37.40,37.70,35600,37.70
2015-05-27,37.05,37.90,37.05,37.50,128900,37.50
2015-05-26,37.00,37.85,36.75,37.70,617800,37.70
2015-05-25,37.70,37.70,37.50,37.55,8200,37.55
2015-05-22,37.60,37.80,37.40,37.65,44000,37.65
2015-05-21,37.30,37.85,37.25,37.50,62300,37.50
2015-05-20,37.80,38.50,36.65,37.35,52700,37.35
2015-05-19,37.75,38.20,37.15,37.55,19900,37.55
2015-05-18,37.75,37.95,37.40,37.65,29000,37.65
2015-05-15,37.95,38.30,37.50,37.50,25100,37.50
2015-05-14,38.00,38.40,37.50,37.65,18100,37.65
2015-05-13,37.85,38.10,36.60,38.00,47400,38.00
2015-05-12,38.05,38.05,37.35,37.65,33600,37.65
2015-05-11,37.95,37.95,37.95,37.95,000,37.95
2015-05-08,37.95,38.00,37.75,37.95,24100,37.95
2015-05-07,38.00,38.25,37.70,37.90,29500,37.90
2015-05-06,38.15,38.55,37.75,38.10,46800,38.10
2015-05-05,38.20,38.95,37.55,38.05,45400,38.05
2015-05-04,37.85,37.85,37.85,37.85,000,37.85
2015-05-01,37.85,37.85,37.85,37.85,000,37.85
2015-04-30,37.80,38.00,37.30,37.85,26000,37.85
2015-04-29,37.80,38.20,37.80,38.20,13700,38.20
2015-04-28,37.90,38.30,37.50,37.90,24900,37.90
2015-04-27,38.30,39.40,37.35,38.00,42200,38.00
2015-04-24,38.15,38.60,37.55,38.30,33000,38.30
2015-04-23,38.95,38.95,36.00,38.30,80600,38.30
2015-04-22,38.30,39.55,38.15,38.95,99400,38.95
2015-04-21,38.45,38.95,38.25,38.35,10900,38.35
2015-04-20,38.75,39.95,38.10,38.50,83400,38.50
2015-04-17,38.90,38.90,37.90,38.50,72000,38.50
2015-04-16,38.10,39.65,37.95,38.40,238100,38.40
2015-04-15,36.95,38.65,36.95,38.05,418800,38.05
2015-04-14,36.90,37.45,36.15,36.55,178100,36.55
2015-04-13,36.75,37.15,36.75,36.90,97100,36.90
2015-04-10,38.05,38.05,36.40,36.80,157800,36.80
2015-04-09,38.60,38.60,36.15,36.35,240100,36.35
2015-04-08,41.25,41.25,37.35,37.85,667400,37.85
2015-04-07,35.10,44.85,35.00,40.40,2462000,40.40
2015-04-06,33.05,35.35,33.05,34.90,101800,34.90
2015-04-03,35.10,35.20,34.20,34.55,80200,34.55
2015-04-02,34.85,35.30,34.60,35.00,42600,35.00
2015-04-01,35.00,35.20,34.45,34.70,48800,34.70
2015-03-31,34.50,35.45,34.15,34.55,41600,34.55
2015-03-30,34.20,34.65,33.60,34.55,94100,34.55
2015-03-27,35.00,35.00,33.50,34.20,59600,34.20
2015-03-26,35.00,35.85,33.90,34.35,111600,34.35
2015-03-25,36.60,36.70,34.05,34.50,193400,34.50
2015-03-24,37.00,38.20,36.20,36.55,188000,36.55
2015-03-23,37.00,37.50,36.50,36.75,87100,36.75
2015-03-20,37.00,37.95,36.50,36.70,79400,36.70
2015-03-19,37.20,37.65,36.05,36.95,145000,36.95
2015-03-18,37.90,37.90,35.85,36.80,143600,36.80
2015-03-17,37.70,38.80,37.20,37.30,62300,37.30
2015-03-16,38.75,38.75,37.35,37.45,59300,37.45
2015-03-13,39.05,40.05,38.00,38.55,140100,38.55
2015-03-12,39.50,40.80,38.10,39.65,321300,39.65
2015-03-11,36.75,39.70,36.75,38.70,140700,38.70
2015-03-10,39.50,42.00,38.55,39.65,329300,39.65
2015-03-09,39.10,39.10,39.10,39.10,000,39.10
2015-03-06,41.20,42.20,39.10,39.10,164600,39.10
2015-03-05,42.15,42.85,40.05,41.35,352500,41.35
2015-03-04,44.90,44.90,41.40,41.95,626700,41.95
2015-03-03,38.50,44.60,37.40,43.80,1420500,43.80
2015-03-02,39.10,39.65,37.00,38.20,507300,38.20
2015-02-27,42.10,42.10,39.00,39.05,855500,39.05
2015-02-26,47.90,53.00,41.30,42.05,4129800,42.05
2015-02-25,32.75,44.60,32.25,44.60,4297300,44.60
2015-02-24,30.50,32.00,30.50,31.90,284400,31.90
2015-02-23,32.10,32.10,32.10,32.10,000,32.10
2015-02-20,32.30,32.30,31.70,32.10,27100,32.10
2015-02-19,32.70,32.90,31.20,31.85,82300,31.85
2015-02-18,33.30,33.30,32.50,32.95,53100,32.95
2015-02-17,32.15,33.30,32.10,33.00,161400,33.00
2015-02-16,32.00,32.65,31.70,32.25,311600,32.25
