Date,Open,High,Low,Close,Volume,Adj Close
2016-03-28,35.15,36.80,34.55,35.10,87000,35.10
2016-03-21,35.00,35.40,34.65,35.15,46600,35.15
2016-03-14,35.10,35.55,34.60,35.00,73100,35.00
2016-03-07,35.00,35.55,34.70,35.00,61600,35.00
2016-02-29,34.75,35.15,34.40,34.90,51200,34.90
2016-02-22,34.90,35.10,34.40,34.85,5600,34.85
2016-02-15,35.60,36.65,34.45,35.00,60500,35.00
2016-02-08,34.75,36.40,34.15,35.45,111100,35.45
2016-02-01,34.95,35.50,34.65,35.25,30900,35.25
2016-01-25,34.70,35.10,34.35,34.65,48600,34.65
2016-01-18,34.50,35.40,34.00,34.35,35800,34.35
2016-01-11,35.60,35.90,34.05,35.00,37800,35.00
2016-01-04,35.85,36.95,35.60,36.05,7400,36.05
2015-12-28,36.00,36.00,35.00,35.55,12100,35.55
2015-12-21,35.50,36.40,34.95,35.75,24700,35.75
2015-12-14,34.60,37.80,34.50,35.10,35400,35.10
2015-12-07,35.15,35.20,33.50,35.00,61800,35.00
2015-11-30,35.50,36.00,34.20,35.00,26300,35.00
2015-11-23,35.25,36.50,34.85,35.25,17600,35.25
2015-11-16,35.00,35.85,34.35,35.60,14900,35.60
2015-11-09,35.90,36.25,34.90,34.90,14500,34.90
2015-11-02,34.85,37.95,34.55,35.80,51100,35.80
2015-10-26,34.40,35.05,34.05,34.55,18900,34.55
2015-10-19,34.40,35.20,34.00,34.55,17300,34.55
2015-10-12,34.60,35.05,34.00,34.55,19900,34.55
2015-10-05,34.10,35.00,33.55,34.75,28700,34.75
2015-09-28,34.80,35.15,34.00,34.50,11800,34.50
2015-09-21,35.00,36.30,34.35,34.75,17800,34.75
2015-09-14,35.35,35.35,34.60,35.00,20200,35.00
2015-09-07,35.50,35.50,34.20,34.90,45800,34.90
2015-08-31,35.15,37.00,34.90,35.20,29700,35.20
2015-08-24,34.55,35.85,33.85,35.20,51300,35.20
2015-08-17,36.05,36.05,34.70,35.00,49500,35.00
2015-08-10,35.85,36.75,35.85,36.00,16900,36.00
2015-08-03,35.90,36.75,35.55,35.95,26900,35.95
2015-07-27,36.10,36.30,35.00,35.95,48300,35.95
2015-07-20,36.80,37.65,36.10,36.25,26400,36.25
2015-07-13,37.15,38.00,35.75,36.80,58300,36.80
2015-07-06,37.40,37.80,35.50,37.20,86700,37.20
2015-06-29,37.40,39.00,37.20,37.55,162100,37.55
2015-06-22,38.15,38.15,37.25,37.45,60400,37.45
2015-06-15,37.55,38.00,37.00,37.60,109000,37.60
2015-06-08,37.75,38.00,37.40,37.55,20800,37.55
2015-06-01,38.15,38.50,37.25,37.50,41900,37.50
2015-05-25,37.70,38.30,36.75,37.70,159400,37.70
2015-05-18,37.75,38.50,36.65,37.65,41500,37.65
2015-05-11,37.95,38.40,36.60,37.50,24800,37.50
2015-05-04,37.85,38.95,37.55,37.95,29100,37.95
2015-04-27,38.30,39.40,37.30,37.85,21300,37.85
2015-04-20,38.75,39.95,36.00,38.30,61400,38.30
2015-04-13,36.75,39.65,36.15,38.50,200800,38.50
2015-04-06,33.05,44.85,33.05,36.80,725800,36.80
2015-03-30,34.20,35.45,33.60,34.55,61400,34.55
2015-03-23,37.00,38.20,33.50,34.20,127900,34.20
2015-03-16,38.75,38.80,35.85,36.70,97900,36.70
2015-03-09,39.10,42.00,36.75,38.55,186200,38.55
2015-03-02,39.10,44.90,37.00,39.10,614300,39.10
2015-02-23,32.10,53.00,30.50,39.05,1913400,39.05
2015-02-16,32.00,33.30,31.20,32.10,127100,32.10
2015-02-09,31.80,34.75,30.05,31.65,103200,31.65
2015-02-02,28.20,35.55,27.55,31.75,149100,31.75
2015-01-26,28.60,30.15,27.45,27.50,52800,27.50
2015-01-19,28.55,30.35,28.00,29.05,64100,29.05
2015-01-12,28.70,29.80,28.10,28.55,23700,28.55
2015-01-05,26.10,31.85,26.00,28.80,44700,28.80
2014-12-29,26.45,26.90,26.00,26.00,35100,26.00
2014-12-22,26.40,28.10,24.50,26.30,59200,26.30
2014-12-15,28.40,28.40,20.55,25.75,197100,25.75
2014-12-08,30.10,30.20,27.10,27.70,78500,27.70
2014-12-01,29.95,32.30,29.70,30.10,143100,30.10
2014-11-24,29.80,30.15,29.00,29.80,45000,29.80
2014-11-17,29.95,30.85,29.25,29.75,75900,29.75
2014-11-10,31.90,32.30,29.70,30.00,84900,30.00
2014-11-03,30.05,32.40,28.15,31.50,147900,31.50
2014-10-27,29.25,29.25,26.85,28.15,195200,28.15
2014-10-20,31.50,31.50,28.10,28.30,71200,28.30
2014-10-13,30.90,30.90,29.60,30.45,43800,30.45
2014-10-06,32.55,34.00,30.65,30.70,80900,30.70
2014-09-29,32.51,33.50,31.00,33.00,84400,33.00
2014-09-22,33.03,33.72,32.00,32.63,33200,32.63
2014-09-15,34.78,35.00,32.99,33.22,32900,33.22
2014-09-08,34.67,36.00,33.50,34.70,58000,34.70
2014-09-01,34.80,35.20,33.83,34.50,45400,34.50
2014-08-25,35.35,36.19,32.81,34.52,151100,34.52
2014-08-18,32.04,40.00,31.90,35.01,678800,35.01
2014-08-11,32.81,33.80,32.05,32.05,54500,32.05
2014-08-04,32.93,33.29,32.02,32.59,28000,32.59
2014-07-28,33.22,33.84,32.01,32.93,72900,32.93
2014-07-21,33.92,34.14,33.18,33.39,43800,33.39
2014-07-14,36.08,36.56,33.54,33.87,31600,33.87
2014-07-07,37.13,37.65,35.92,36.06,70900,35.767
2014-06-30,38.24,38.25,37.07,37.11,9600,36.809
2014-06-23,36.93,38.57,36.53,37.26,12400,36.957
2014-06-16,37.40,37.40,36.10,37.09,18900,36.789
2014-06-09,37.99,38.00,36.97,37.15,8100,36.848
2014-06-02,37.50,37.50,36.28,37.37,15400,37.066
2014-05-26,36.95,39.67,36.07,37.06,57100,36.759
2014-05-19,35.98,36.89,35.00,35.75,21600,35.46
2014-05-12,35.35,36.76,34.99,35.93,34800,35.638
2014-05-05,33.33,37.50,33.05,35.96,30200,35.668
2014-04-28,33.00,35.15,32.86,33.50,10000,33.228
2014-04-21,35.25,35.50,33.21,33.25,15400,32.98
2014-04-14,35.74,35.74,33.04,35.40,34600,35.112
2014-04-07,38.62,38.62,35.23,36.37,26900,36.075
2014-03-31,37.25,37.88,36.50,37.37,11200,37.066
2014-03-24,35.49,39.67,35.35,36.66,58100,36.362
2014-03-17,32.38,44.00,32.38,34.41,79300,34.13
2014-03-10,39.16,39.16,29.90,31.62,107900,31.363
2014-03-03,43.77,43.77,30.00,39.16,123900,38.842
2014-02-24,46.89,47.60,44.00,44.83,52400,44.466
2014-02-17,48.39,48.96,46.09,46.55,14000,46.172
2014-02-10,48.37,48.98,47.37,47.91,13700,47.521
2014-02-03,46.67,49.61,45.22,48.00,98500,47.61
2014-01-27,50.13,50.65,45.11,46.48,89600,46.102
2014-01-20,51.53,54.51,43.61,50.35,85000,49.941
2014-01-13,51.23,52.35,50.53,51.00,30500,50.586
2014-01-06,50.13,52.48,50.00,51.59,12700,51.171
2013-12-30,51.97,52.00,50.40,51.72,6200,51.30
2013-12-23,50.50,53.00,49.20,51.23,56700,50.814
2013-12-16,53.20,54.99,50.10,50.45,86500,50.04
2013-12-09,51.05,53.95,49.50,53.50,32000,53.065
2013-12-02,47.01,56.44,45.06,51.10,157100,50.685
2013-11-25,49.30,52.00,41.55,47.03,116500,46.648
2013-11-18,50.53,51.85,49.05,49.73,24900,49.326
2013-11-11,52.50,54.99,50.00,51.42,33200,51.002
2013-11-04,54.32,54.45,51.53,52.06,9300,51.637
2013-10-28,56.77,58.07,52.01,54.32,36900,53.879
2013-10-21,56.71,60.45,56.12,56.70,74500,56.239
2013-10-14,58.50,58.57,55.90,57.72,21100,57.251
2013-10-07,60.48,60.55,55.10,58.48,64500,58.005
2013-09-30,62.45,63.99,60.40,60.80,18400,60.306
2013-09-23,62.41,64.89,60.43,62.99,112400,62.478
2013-09-16,62.53,64.55,60.02,63.47,41500,62.954
2013-09-09,61.11,66.00,61.10,62.52,109500,62.012
2013-09-02,54.00,63.27,54.00,61.88,27200,61.377
2013-08-26,56.55,56.55,53.00,54.00,79200,53.561
