Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,14.87,15.41,14.86,15.38,3604000,15.38
2016-03-01,13.16,15.73,13.06,15.32,2275800,15.32
2016-02-01,13.24,14.00,12.29,12.92,2326800,12.92
2016-01-04,15.25,15.54,11.00,13.42,3047800,13.42
2015-12-01,16.59,16.639999,13.77,15.72,2513600,15.72
2015-11-02,15.94,17.51,14.80,16.629999,3541500,16.629999
2015-10-01,10.79,16.24,10.51,16.10,5137800,16.10
2015-09-01,11.88,13.44,10.30,10.73,4262100,10.73
2015-08-03,13.70,14.06,9.94,12.20,3575500,12.20
2015-07-01,15.25,15.90,13.86,13.91,2637500,13.91
2015-06-01,18.129999,19.110001,14.79,15.22,2694400,15.22
2015-05-01,19.41,20.120001,17.549999,18.030001,2008300,18.030001
2015-04-01,15.27,21.360001,15.17,19.24,4796600,19.24
2015-03-02,16.299999,16.299999,13.90,15.17,3230500,15.17
2015-02-02,14.95,18.25,14.14,16.450001,4120600,16.450001
2015-01-02,18.02,18.93,14.76,14.89,2729200,14.89
2014-12-01,24.60,24.60,15.03,17.959999,3939800,17.959999
2014-11-03,28.620001,28.690001,24.68,24.92,1807500,24.92
2014-10-01,27.74,28.870001,24.26,28.620001,2985500,28.620001
2014-09-02,28.360001,32.049999,27.77,27.799999,3203500,27.799999
2014-08-01,30.139999,30.950001,28.059999,28.43,2766600,28.43
2014-07-01,35.650002,35.849998,29.43,30.280001,3133100,30.280001
2014-06-02,31.200001,35.900002,30.530001,35.639999,3136100,35.639999
2014-05-01,26.73,32.810001,26.02,31.139999,4565900,31.139999
2014-04-01,30.879999,31.870001,21.700001,26.49,8264900,26.49
2014-03-03,33.75,35.299999,28.40,30.190001,9310400,30.190001
2014-02-03,36.549999,41.349998,35.00,37.50,3637200,37.50
2014-01-02,43.310001,45.419998,35.09,36.75,3360700,36.75
2013-12-02,39.950001,43.650002,36.959999,43.150002,2728900,43.150002
2013-11-01,37.169998,40.470001,35.59,39.75,2013800,39.75
2013-10-01,36.330002,42.00,34.310001,36.860001,3246100,36.860001
2013-09-03,32.200001,38.099998,31.620001,36.419998,2702100,36.419998
2013-08-01,33.099998,34.790001,31.15,32.00,1889100,32.00
2013-07-01,28.00,33.66,27.32,32.509998,3164300,32.509998
2013-06-03,27.200001,27.98,25.379999,27.65,2190000,27.65
2013-05-01,25.969999,29.48,25.07,27.16,2474500,27.16
2013-04-01,23.040001,25.92,19.93,25.74,2629100,25.74
2013-03-01,23.49,25.299999,21.139999,23.139999,2769700,23.139999
2013-02-01,24.48,25.969999,22.120001,23.190001,3298900,23.190001
2013-01-02,21.98,24.700001,21.90,24.209999,1764300,24.209999
2012-12-03,21.99,23.50,20.34,21.540001,1823800,21.540001
2012-11-01,23.51,23.969999,20.540001,21.82,1113900,21.82
2012-10-01,24.450001,25.08,21.700001,23.309999,1143800,23.309999
2012-09-04,20.58,25.23,20.58,24.15,2445800,24.15
2012-08-01,19.42,21.790001,19.09,21.120001,1062100,21.120001
2012-07-02,19.24,21.57,17.73,19.23,1589700,19.23
2012-06-01,19.610001,20.049999,16.65,19.049999,1911400,19.049999
2012-05-01,23.93,24.57,19.41,19.93,1438300,19.93
2012-04-02,26.940001,28.139999,22.950001,23.719999,1758000,23.719999
2012-03-01,20.91,27.00,20.67,26.870001,1995800,26.870001
2012-02-01,20.50,23.84,20.139999,21.299999,1547600,21.299999
2012-01-03,19.950001,21.290001,17.940001,20.34,1218200,20.34
2011-12-01,21.809999,22.530001,16.60,19.700001,1094500,19.700001
2011-11-01,26.200001,28.799999,18.629999,21.98,1185500,21.98
2011-10-03,22.50,29.34,17.530001,27.52,1063400,27.52
2011-09-01,31.09,31.90,19.98,20.459999,1574100,20.459999
2011-08-01,35.380001,35.950001,26.02,30.969999,1373600,30.969999
2011-07-01,35.75,39.669998,32.650002,34.98,1662200,34.98
2011-06-01,32.98,35.73,29.76,35.509998,1566100,35.509998
2011-05-24,35.00,42.009998,30.549999,33.450001,19266800,33.450001
