Date,Open,High,Low,Close,Volume,Adj Close
2016-03-28,15.06,15.73,14.60,15.38,1599300,15.38
2016-03-21,15.14,15.32,14.62,15.08,2136700,15.08
2016-03-14,14.18,15.57,13.94,15.19,2696900,15.19
2016-03-07,14.21,14.81,13.42,14.26,2218200,14.26
2016-02-29,13.14,14.49,12.83,14.48,2107200,14.48
2016-02-22,13.20,13.49,12.51,12.98,1742100,12.98
2016-02-16,13.42,14.00,12.55,12.67,3020600,12.67
2016-02-08,12.88,13.14,12.29,12.95,2292000,12.95
2016-02-01,13.24,13.98,12.59,12.88,2360000,12.88
2016-01-25,12.86,13.85,12.41,13.42,2430900,13.42
2016-01-19,12.50,13.26,11.00,13.13,3190500,13.13
2016-01-11,13.70,13.78,11.95,12.22,2833400,12.22
2016-01-04,15.25,15.54,13.37,13.42,3252300,13.42
2015-12-28,15.71,15.97,15.32,15.72,1237500,15.72
2015-12-21,15.21,16.16,15.11,16.10,2196700,16.10
2015-12-14,14.33,15.71,13.77,15.32,3026400,15.32
2015-12-07,15.67,15.70,14.36,14.40,2511600,14.40
2015-11-30,16.530001,16.75,15.69,15.79,3183900,15.79
2015-11-23,17.50,17.51,16.110001,16.57,2869600,16.57
2015-11-16,15.24,17.51,15.03,17.51,4568900,17.51
2015-11-09,15.69,16.209999,14.80,15.17,2601800,15.17
2015-11-02,15.94,16.610001,14.99,15.83,3439900,15.83
2015-10-26,13.20,16.24,13.13,16.10,8090600,16.10
2015-10-19,13.24,13.77,12.69,13.22,2607400,13.22
2015-10-12,12.52,13.80,11.91,13.60,4161200,13.60
2015-10-05,11.54,12.76,11.52,12.37,5366900,12.37
2015-09-28,10.60,11.37,10.30,11.34,2998000,11.34
2015-09-21,12.65,12.67,10.57,10.69,2966600,10.69
2015-09-14,11.24,13.44,10.93,12.49,5622700,12.49
2015-09-08,11.53,11.79,11.05,11.27,3928300,11.27
2015-08-31,11.99,12.37,11.41,11.50,5206000,11.50
2015-08-24,10.36,12.36,9.94,12.35,4796700,12.35
2015-08-17,12.91,12.97,10.98,11.01,3048500,11.01
2015-08-10,13.36,13.74,12.70,12.82,1671900,12.82
2015-08-03,13.70,14.06,13.08,13.33,2856700,13.33
2015-07-27,14.53,15.61,13.86,13.91,3259800,13.91
2015-07-20,15.68,15.90,14.61,14.84,1856500,14.84
2015-07-13,14.99,15.81,14.74,15.78,2055600,15.78
2015-07-06,15.14,15.33,13.90,14.85,2665900,14.85
2015-06-29,15.39,15.61,14.79,15.38,3000400,15.38
2015-06-22,16.85,16.92,15.38,15.81,3902300,15.81
2015-06-15,17.48,17.549999,16.66,16.77,1850700,16.77
2015-06-08,17.549999,18.00,16.98,17.629999,1547200,17.629999
2015-06-01,18.129999,19.110001,17.139999,17.559999,2249600,17.559999
2015-05-26,18.440001,18.700001,17.549999,18.030001,2032500,18.030001
2015-05-18,19.00,19.41,18.43,18.50,1924100,18.50
2015-05-11,19.690001,19.93,18.91,19.01,1582000,19.01
2015-05-04,19.620001,20.120001,19.030001,19.639999,2176000,19.639999
2015-04-27,20.65,20.860001,18.07,19.57,3614500,19.57
2015-04-20,20.190001,21.360001,19.700001,20.67,3283000,20.67
2015-04-13,18.200001,20.98,17.530001,20.59,6375400,20.59
2015-04-06,16.48,18.17,16.309999,17.84,4534900,17.84
2015-03-30,15.50,16.68,15.05,16.24,3486900,16.24
2015-03-23,14.80,15.63,14.60,15.45,3695100,15.45
2015-03-16,14.50,14.96,13.96,14.63,3172600,14.63
2015-03-09,15.10,15.32,13.90,14.68,3186400,14.68
2015-03-02,16.299999,16.299999,15.12,15.13,3085900,15.13
2015-02-23,16.780001,16.889999,16.030001,16.450001,2993500,16.450001
2015-02-17,17.18,18.25,16.139999,17.01,4817300,17.01
2015-02-09,16.360001,17.639999,15.24,17.00,3878800,17.00
2015-02-02,14.95,16.66,14.14,16.120001,4481800,16.120001
2015-01-26,16.969999,17.139999,14.76,14.89,2900700,14.89
2015-01-20,17.24,17.57,16.299999,17.190001,2917300,17.190001
2015-01-12,17.940001,18.639999,17.200001,17.969999,2307000,17.969999
2015-01-05,18.389999,18.93,17.18,18.24,2308800,18.24
2014-12-29,17.879999,18.540001,17.780001,18.370001,2220000,18.370001
2014-12-22,18.549999,18.799999,17.450001,18.16,2272600,18.16
2014-12-15,18.969999,18.969999,15.03,18.00,6290400,18.00
2014-12-08,21.030001,21.16,18.700001,19.309999,4129400,19.309999
2014-12-01,24.60,24.60,21.299999,21.91,3482800,21.91
2014-11-24,26.84,26.90,24.68,24.92,1662700,24.92
2014-11-17,26.280001,26.99,25.52,26.67,1452900,26.67
2014-11-10,26.83,27.08,25.700001,26.450001,1602000,26.450001
2014-11-03,28.620001,28.690001,26.10,26.549999,2061000,26.549999
2014-10-27,27.60,28.870001,26.709999,28.620001,2663300,28.620001
2014-10-20,26.09,28.40,25.76,27.780001,2858200,27.780001
2014-10-13,24.719999,27.030001,24.26,26.309999,2710300,26.309999
2014-10-06,27.34,27.799999,24.40,24.440001,2511500,24.440001
2014-09-29,28.93,29.24,25.790001,27.049999,3727100,27.049999
2014-09-22,29.40,30.290001,28.379999,29.67,2317300,29.67
2014-09-15,31.459999,31.59,29.219999,29.42,3003300,29.42
2014-09-08,31.370001,32.049999,30.25,31.559999,2719200,31.559999
2014-09-02,28.360001,31.870001,28.34,31.60,3857800,31.60
2014-08-25,29.280001,29.73,28.10,28.43,1600000,28.43
2014-08-18,28.809999,30.950001,28.379999,29.08,2777300,29.08
2014-08-11,29.51,29.860001,28.059999,28.41,2943400,28.41
2014-08-04,30.280001,30.700001,28.280001,29.00,3155400,29.00
2014-07-28,29.860001,32.189999,29.309999,30.280001,3217900,30.280001
2014-07-21,30.42,31.35,29.459999,30.530001,2674800,30.530001
2014-07-14,32.220001,32.830002,29.43,30.74,2933600,30.74
2014-07-07,34.50,34.50,30.68,32.110001,3772500,32.110001
2014-06-30,35.099998,35.900002,34.330002,34.560001,2415800,34.560001
2014-06-23,35.02,35.700001,33.959999,35.16,3471200,35.16
2014-06-16,33.41,35.669998,33.00,35.560001,3198100,35.560001
2014-06-09,34.349998,34.720001,33.310001,33.73,2491500,33.73
2014-06-02,31.200001,34.00,30.530001,33.720001,3005400,33.720001
2014-05-27,31.85,32.810001,30.76,31.139999,3772100,31.139999
2014-05-19,30.08,32.310001,29.83,32.209999,4082300,32.209999
2014-05-12,28.77,30.25,28.32,30.030001,4444900,30.030001
2014-05-05,26.34,28.879999,26.02,28.299999,5279700,28.299999
2014-04-28,24.16,27.07,23.110001,26.530001,6509700,26.530001
2014-04-21,29.77,29.889999,21.700001,24.00,10613100,24.00
2014-04-14,28.00,30.450001,26.469999,29.950001,7514500,29.950001
2014-04-07,29.139999,30.18,27.26,28.01,6858500,28.01
2014-03-31,30.24,31.870001,29.85,29.959999,6395900,29.959999
2014-03-24,30.25,30.73,28.40,29.469999,9494500,29.469999
2014-03-17,31.17,32.830002,29.639999,30.01,7610500,30.01
2014-03-10,33.220001,33.849998,28.65,30.389999,8949100,30.389999
2014-03-03,33.75,35.299999,31.549999,33.18,10032800,33.18
2014-02-24,36.50,38.700001,35.77,37.50,3093000,37.50
2014-02-18,40.689999,41.349998,36.00,36.66,4979600,36.66
2014-02-10,39.50,40.970001,39.16,40.290001,2526500,40.290001
2014-02-03,36.549999,39.490002,35.00,39.259998,3640900,39.259998
2014-01-27,38.009998,38.43,35.09,36.75,4898700,36.75
2014-01-21,43.549999,44.00,37.560001,38.02,3678900,38.02
2014-01-13,44.169998,44.91,42.400002,43.02,1863900,43.02
2014-01-06,42.889999,45.419998,42.060001,44.00,3294900,44.00
2013-12-30,42.580002,43.34,41.959999,42.900002,1525600,42.900002
2013-12-23,40.68,43.650002,40.50,42.580002,2180900,42.580002
2013-12-16,38.419998,40.400002,38.00,40.290001,2002400,40.290001
2013-12-09,39.91,40.57,36.959999,38.209999,3915000,38.209999
2013-12-02,39.950001,41.799999,38.75,39.939999,2862700,39.939999
2013-11-25,38.59,40.470001,38.290001,39.75,1514400,39.75
2013-11-18,38.970001,39.849998,35.779999,38.470001,2374300,38.470001
2013-11-11,36.18,39.25,35.799999,38.529999,1656500,38.529999
2013-11-04,38.25,38.650002,35.59,36.349998,2084000,36.349998
2013-10-28,38.18,39.200001,35.959999,38.029999,3024100,38.029999
2013-10-21,41.669998,42.00,37.299999,38.189999,3701300,38.189999
2013-10-14,38.130001,41.32,37.900002,40.810001,2468100,40.810001
2013-10-07,37.93,38.939999,34.310001,38.330002,3925000,38.330002
2013-09-30,36.220001,39.439999,35.630001,38.349998,2091800,38.349998
2013-09-23,36.650002,37.630001,36.119999,36.799999,2551500,36.799999
2013-09-16,34.860001,38.099998,34.549999,36.59,2885000,36.59
2013-09-09,34.330002,35.880001,33.689999,34.380001,2027300,34.380001
2013-09-03,32.200001,35.240002,31.620001,34.240002,3103000,34.240002
2013-08-26,33.599998,33.759998,31.15,32.00,2037000,32.00
2013-08-19,32.900002,33.82,31.77,33.439999,1393400,33.439999
2013-08-12,32.709999,34.790001,32.310001,33.119999,1833900,33.119999
2013-08-05,33.580002,33.810001,31.92,33.040001,1377700,33.040001
2013-07-29,33.00,34.27,30.389999,33.779999,3250600,33.779999
2013-07-22,31.299999,33.66,29.969999,33.419998,3723000,33.419998
